,#,إسم المندوب,المنطقة,نوع النشاط,إسم المحل,إسم صاحب العمل,رقم التليفون,العنوان بالتفصيل,مكن الدفع الإلكترونى,الطاير,نية التعامل,حجم التعامل,نوع اجهزه المحمول,التقييم,الملاحظات
0,4,فايز,نبروه,None,مينبتيملتكيبس,ماكلمنيبسكالميب,965258252,يسلسيبنئرتكؤوز ؤر,فورى,لا يوجد,,من 10 الاف ل 25000,سامسونج,مهم جدا,كمينترنئة
1,5,وليد,نبروه,None,دمنه,محمد منير محمد عرفه,01015575214,مش عارف بجد,امان,لا يوجد,,اعلي من 50 الف,أبل,متوسط,سيبلا
2,6,فايز,ميت بدر,None,df;kajsdhf;,lkjhkl;,69520,;sdljfhdl,فورى,لا يوجد,,اقل من 10 الاف,هواوى,مهم جدا,;lkijuhgv
3,7,فايز,ميت بدر,None,يبسلخهيبخم,محمجمسليبت,985623,يسهملتكمنيب,None,يوجد,تمنيستشب,اقل من 10 الاف,شاومى,مهم جدا,منتالب
4,8,فايز,ميت بدر,None,lkjhldòkjfaò,ouafsd,9655252,òoasduhfòas,None,لا يوجد,,اقل من 10 الاف,أبل,متوسط,òlopiujghb
5,9,فايز,ميت بدر,None,jdsh;kjadsf,likjhbds,98652521,sadljf;lk,None,لا يوجد,,اقل من 10 الاف,أبل,غير مهم,;lkjhb
6,10,فايز,ميت بدر,None,likujhygf,okpiujyhg,8521,òlkjhnb,None,يوجد,lkjhg,من 10 الاف ل 25000,سامسونج,غير مهم,
7,11,فايز,ميت بدر,None,okhjg,loiuhyg,85215825,;lkjhg,None,لا يوجد,,اقل من 10 الاف,أوبو,غير مهم,
8,12,حسن,ميت الكرما,None,ljhkj,khjggf,khbhmbm,lkjuhg,None,لا يوجد,,من 25 الف ل 50 الف,None,غير مهم,
9,13,فايز,ميت بدر,None,"hgjhbnm,",kljhgfd,896532542,redfghjb,None,لا يوجد,,من 10 الاف ل 25000,None,غير مهم,
10,14,وليد,نبروه,None,;olkijhg,lkhjgf,564210,";lk,jmhngb",فورى,يوجد,مش عرفى,من 10 الاف ل 25000,شاومى,متوسط,كمنتا
11,15,فايز,ميت بدر,None,كمنتاحط,كمنتاكمنوتةا,كمنتكمنت,كمننتكمنت,مصارى,يوجد,كمنتال,من 10 الاف ل 25000,شاومى,متوسط,زمنتا
12,16,فايز,ميت بدر,None,كمنتاحط,كمنتاكمنوتةا,كمنتكمنت,كمننتكمنت,مصارى,يوجد,كمنتال,من 10 الاف ل 25000,شاومى,متوسط,زمنتا
13,17,فايز,ميت بدر,None,كمنتاحط,كمنتاكمنوتةا,كمنتكمنت,كمننتكمنت,مصارى,يوجد,كمنتال,من 10 الاف ل 25000,شاومى,متوسط,زمنتا
14,18,فايز,ميت بدر,None,كمنتاحط,كمنتاكمنوتةا,كمنتكمنت,كمننتكمنت,مصارى,يوجد,كمنتال,من 10 الاف ل 25000,شاومى,متوسط,زمنتا
15,19,فايز,ميت بدر,None,كمنتاحط,كمنتاكمنوتةا,كمنتكمنت,كمننتكمنت,مصارى,يوجد,كمنتال,من 10 الاف ل 25000,شاومى,متوسط,زمنتا
16,20,حسن,ميت الكرما,None,lkh;ljsdh;l,lkjf;askdj,2222222222222,klasjd;lkj,مصارى,لا يوجد,lkjhgf,اعلي من 50 الف,نوكيا,مهم,.lkjhg
17,21,حسن,ميت الكرما,None,lkh;ljsdh;l,lkjf;askdj,2222222222222,klasjd;lkj,امان- فورى- بى- مصارى,لا يوجد,lkjhgf,اعلي من 50 الف,أبل- شاومى- نوكيا,مهم,.lkjhg
18,22,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس,مهم,;lkjhg
19,23,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس,مهم,;lkjhg
20,24,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس,مهم,;lkjhg
21,25,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس,مهم,;lkjhg
22,26,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس- this_is_for_test,مهم,;lkjhg
23,27,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس- this_is_for_test,مهم,;lkjhg
24,28,حسن,جوجر,None,likhj,l;kjhg,85285,9632,امان- فورى,لا يوجد,loijuhg,من 10 الاف ل 25000,انفنكس- this_is_for_test,مهم,;lkjhg
25,29,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
26,30,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
27,31,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,غلبتنى والله العظيم- فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
28,32,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,غلبتنى والله العظيم- فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
29,33,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,غلبتنى والله العظيم- فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
30,34,وليد,نبروه,غلبتنى والله العظيم,الحمد لله,تم العمل,7845210541,لبسيبتليب,فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
31,35,وليد,نبروه,other,الحمد لله,تم العمل,7845210541,لبسيبتليب,فورى- بى,لا يوجد,نتال,اقل من 10 الاف,انفنكس- أوبو,متوسط,منتا
32,36,وليد,نبروه,other,نيبمسلبيم,نتاتتنتتن,656564654,684نةمسيمةم,امان- فورى,لا يوجد,مننن,اعلي من 50 الف,هواوى- أبل,مهم,بيلبليلي
33,37,وليد,نبروه,other,نيبمسلبيم,نتاتتنتتن,656564654,684نةمسيمةم,امان- فورى,لا يوجد,مننن,اعلي من 50 الف,هواوى- أبل,مهم,بيلبليلي
34,38,وليد,نبروه,other,نيبمسلبيم,نتاتتنتتن,656564654,684نةمسيمةم,امان- فورى,لا يوجد,مننن,اعلي من 50 الف,هواوى- أبل,مهم,بيلبليلي
35,39,وليد,نبروه,odjfkls;djfsldk,lsjflsdkjfs,kkljdlsdvsd,5754524,VXVJXCL;KVJX;LKCJ;L,بى- مصارى,لا يوجد,jlkfjdlkvx,من 10 الاف ل 25000,انفنكس- أوبو,مهم,kk
